특성,경기장 건설 비용(단위: 백만 달러)
"아메리칸 항공 센터, 2001",420.0
"푸르덴셜 센터, 2007",375.0
"스테이플스 센터, 1999",375.0
"CONSOL 에너지 센터, 2010",321.0
"르 센터 벨, 1996",270.0
"버라이존 센터, 1997",260.0
"에어캐나다 센터, 1999",250.0
"매디슨 스퀘어 가든, 1991",220.0
Jobing.com 아레나,220.0
"필립스 아레나, 1999",213.0
"와코비아 센터, 1996",210.0
"은행 애틀랜틱 센터, 1998",185.0
"펩시 센터, 1999",180.0
"유나이티드 센터, 1994",175.0
"스코샤뱅크 플레이스, 1996",170.0
"HP 파빌리온, 1993",162.5
"TD 뱅크노스 가든, 1995",160.0
"RBC 센터, 1999",158.0
"네이션와이드 아레나, 2000",150.0
"제너럴 모터스 플레이스, 1995",144.5
1996년 세인트 피트 타임스 포럼,139.0
"스캇트레이드 센터, 1994",135.0
"엑셀에너지센터, 2000",130.0
"소멧 센터, 1996",130.0
1996년 HSBC 아레나,127.5
"혼다 센터, 1993",123.0
