특성,미국 달러로 보상
팀 핀켐(PGA 투어 커미셔너 겸 CEO) 2013,4.58
조 스테란카(전 미국 CEO) 2013,2.59
"Dick Rugge(전 USGA 수석 이사, 장비 표준) 2012",1.8
톰 웨이드(PGA 투어 글로벌 상업 책임자) 2013,1.17
찰스 징크(PGA 투어 공동 최고운영책임자) 2013,1.16
에드 무어하우스(PGA 투어 공동 최고운영책임자) 2013,1.13
"론 프라이스(PGA 투어 부사장, CFO) 2013",1.06
"David Pillsbury(PGA 투어 부사장, 챔피언십 관리 및 토너먼트 비즈니스 업무) 2013",0.97
마이크 완(LPGA 투어 커미셔너) 2012,0.89
Ty Votaw(PGA 투어 부사장 겸 글로벌 커뮤니케이션 책임자) 2013,0.79
마이크 데이비스(USGA 전무이사) 2012,0.77
조셉 모나한(PGA 투어 부사장 겸 최고 마케팅 책임자) 2013,0.73
데이비드 페이(전 USGA 전무이사) 2012,0.65
Michael Butz (USGA 오픈 챔피언십 및 협회 관계 담당 수석 전무이사),0.64
"조 루이스 바로우 주니어(월드 골프 재단 부사장, 퍼스트 티 CEO) 2013",0.62
"빌 칼피(PGA 투어 회장, Web.com 투어) 2013",0.55
대럴 크롤(PGA of America COO) 2013,0.54
케리 헤이(Kerry Haigh)(미국 PGA 최고 챔피언십 책임자) 2013,0.54
"릭 앤더슨(PGA 투어 부사장, TV 및 디지털) 2013",0.54
제임스 파즈더(PGA 투어 부사장 겸 운영 최고 책임자) 2013,0.51
"마이크 스티븐스(PGA 투어 회장, 챔피언스 투어) 2013",0.49
스티븐 모나(월드골프재단 CEO) 2013,0.45
"마크 러셀(PGA 투어 VP, 규칙 및 대회) 2013",0.45
스티븐 햄블린(미국주니어골프협회 전무이사) 2012,0.43
조셉 베디츠 (국립골프재단 회장/CEO) 2012,0.25
