특성,수백만 건의 요청
1월 19일,356
3월 18일,315
2월 18일,285
1월 18일,328
12월 17일,327
9월 17일,239
7월 17일,236
6월 17일,256
5월 17일,271
4월 17일,274
3월 17일,298
2월 17일,277
1월 17일,304
12월 16일,351
11월 16일,350
10월 16일,351
9월 16일,310
8월 16일,321
7월 16일,300
6월 16일,290
5월 16일,273
4월 16일,286
3월 16일,308
2월 16일,298
1월 16일,315
12월 15일,309
11월 15일,310
10월 15일,313
9월 15일,334
8월 15일,278
7월 15일,258
6월 15일,251
5월 15일,280
4월 15일,275
3월 15일,281
2월 15일,315
1월 15일,352
12월 14일,337
11월 14일,336
10월 14일,320
9월 14일,261
8월 14일,247
7월 14일,237
6월 14일,264
5월 14일,276
4월 14일,269
3월 14일,322
2월 14일,302
1월 14일,316
