특성,연설 횟수
안토니우스와 클레오파트라,1361
오델로,1309
트로일러스와 크레시다,1301
작은 촌락,1250
코리올라누스,1240
리처드 3세,1224
리어 왕,1181
윈저의 즐거운 아내들,1163
사랑의 노동은 사라졌다,1123
아무것도 아닌 것에 대해 많은 고민,1062
끝이 좋으면 다 좋아,1034
열 두번째 밤,1031
로미오와 줄리엣,989
측정을 위한 측정,987
헨리 4세 - 2부,987
심블린,979
말괄량이 길들이기,965
헨리 6세 - 3부,949
베로나의 두 신사,943
헨리 6세 - 2부,921
율리우스 카이사르,895
당신이 그것을 좋아하는대로,872
아테네의 티몬,870
헨리 5세,853
겨울 이야기,814
헨리 8세,788
헨리 6세 - 파트 1,787
헨리 4세 - 파트 1,787
맥베스,765
"페리클레스, 티레의 왕자",756
베니스의 상인,722
폭풍우,702
오류의 희극,664
티투스 안드로니쿠스,662
리차드 2세,636
존 왕,621
한 여름밤의 꿈,605
