특성,지출 금액(미화 1조 달러)
2020년 3분기,9.68
2020년 2분기,10.91
2020년 1분기,7.49
'19년 4분기,7.39
'19년 3분기,7.34
2019년 2분기,7.26
'19년 1분기,7.18
'18년 4분기,7.07
'18년 3분기,6.99
'18년 2분기,6.91
'18년 1분기,6.8
'17년 4분기,6.7
'17년 3분기,6.65
2017년 2분기,6.54
'17년 1분기,6.51
'16년 4분기,6.46
'16년 3분기,6.41
'16년 2분기,6.32
'16년 1분기,6.31
'15년 4분기,6.25
'15년 3분기,6.23
'15년 2분기,6.06
'15년 1분기,6.11
'14년 4분기,6.07
'14년 3분기,6.04
'14년 2분기,5.98
'14년 1분기,5.92
'13년 4분기,5.87
'13년 3분기,5.87
'13년 2분기,5.85
'13년 1분기,5.83
'12년 4분기,5.9
'12년 3분기,5.8
2012년 2분기,5.83
'12년 1분기,5.84
'11년 4분기,5.87
'11년 3분기,5.84
'11년 2분기,5.92
'11년 1분기,5.86
'10년 4분기,5.84
'10년 3분기,5.81
'10년 2분기,5.86
'10년 1분기,5.82
2009년 4분기,5.71
2009년 3분기,5.66
2009년 2분기,5.68
2009년 1분기,5.49
