특성,국내 총생산(단위: 10억 달러)
2026*,108.98
2025*,104.34
2024*,99.91
2023*,95.34
2022*,90.45
2021*,84.08
2020,73.21
2019,71.11
2018,70.95
2017년,64.16
2016년,60.72
2015년,57.77
2014년,66.21
2013년,61.76
2012,56.71
2011년,60.07
2010년,53.31
2009년,51.52
2008년,56.07
2007년,50.96
2006년,42.45
2005년,37.38
2004년,34.73
2003년,29.62
2002년,23.71
2001년,21.29
2000,21.33
1999년,21.17
1998년,19.34
1997년,18.5
1996년,20.55
1995년,20.66
1994년,17.56
1993년,15.78
1992년,15.39
1991년,13.74
1990년,12.68
1989년,9.94
1988년,9.34
1987년,8.24
1986년,6.64
