특성,1인당 GDP(미국 달러)
2026*,680.18
2025*,660.36
2024*,640.13
2023*,617.07
2022*,600.93
2021*,587.6
2020*,540.53
2019,573.51
2018,553.33
2017년,456.4
2016년,459.14
2015년,435.98
2014년,425.33
2013년,398.63
2012,368.39
2011년,334.39
2010년,288.02
2009년,257.77
2008년,280.4
2007년,245.82
2006년,218.02
2005년,189.03
2004년,171.72
2003년,160.84
2002년,165.77
2001년,146.54
2000,397.03
1999년,410.45
1998년,461.12
1997년,642.73
1996년,731.02
1995년,584.27
1994년,621.05
1993년,1182.37
1992년,935.23
1991년,1070.24
1990년,1138.48
1989년,1135.11
1988년,1152.29
1987년,1027.35
1986년,1120.94
