특성,1인당 GDP(미국 달러)
2026*,1226.59
2025*,1144.97
2024*,1071.83
2023*,1022.76
2022*,1025.06
2021*,971.98
2020*,912.44
2019*,948.89
2018*,878.22
2017*,833.03
2016년,808.45
2015년,769.77
2014년,960.7
2013년,964.83
2012,950.56
2011년,872.04
2010년,808.71
2009년,815.81
2008년,784.5
2007년,634.36
2006년,527.74
2005년,483.03
2004년,430.76
2003년,361.77
2002년,361.95
2001년,347.81
2000,355.47
1999년,370.52
1998년,402.46
1997년,423.92
1996년,401.41
1995년,401.89
1994년,346.26
1993년,247.11
1992년,216.04
1991년,238.48
1990년,472.19
1989년,599.95
1988년,767.65
1987년,768.94
1986년,494.51
