특성,시장 점유율
12월 20일,4.06%
11월 20일,4.06%
10월 20일,3.77%
9월 20일,3.2%
8월 20일,4.04%
7월 20일,3.65%
6월 20일,3.55%
5월 20일,5.14%
4월 20일,4.37%
3월 20일,2.74%
2월 20일,3.69%
1월 20일,3.44%
12월 19일,3.84%
11월 19일,3.51%
10월 19일,3.55%
9월 19일,3.18%
8월 19일,3.9%
7월 19일,3.6%
6월 19일,3.27%
5월 19일,3.33%
4월 19일,3.52%
3월 19일,3.56%
2월 19일,3.99%
1월 19일,3.51%
12월 18일,3.31%
11월 18일,3.32%
10월 18일,3.53%
9월 18일,3.27%
8월 18일,4.21%
7월 18일,3.39%
6월 18일,3.31%
5월 18일,3.29%
4월 18일,3.71%
3월 18일,3.44%
2월 18일,3.79%
1월 18일,3.22%
12월 17일,2.71%
11월 17일,3.1%
10월 17일,3.29%
9월 17일,3.01%
8월 17일,3.4%
7월 17일,삼%
6월 17일,3.16%
5월 17일,3.25%
4월 17일,3.55%
3월 17일,3.41%
2월 17일,3.94%
1월 17일,3.41%
