특성,백만 명의 시청자 수
"타이타닉(J. Cameron, 1998, 미국)",21.78
"Bienvenue chez les Ch'tis(D. Boon, 2008, 프랑스)",20.44
"불가촉천민(E. Tolédano, O. Nakache, 2011, FR)",19.51
"라 그랑드 바드루이(G. Oury, 1966, FR/GB)",17.33
"바람과 함께 사라지다(V. 플레밍, 1950, 미국)",16.73
"C'era una volta il West(S. Leone, 1969, IT)",14.88
"아바타(J. Cameron, 2009, 미국)",14.78
"정글북(W. Reitherman, 1968, 미국)",14.78
"백마리 달마시안(W.디즈니, 1961, 미국)",14.7
"Astérix et Obélix : 임무 Cléopâtre(A. Chabat, 2002, FR)",14.41
"십계명(C.B. DeMille, 1958, 미국)",14.24
"벤 허(W. Wyler, 1960, 미국)",13.86
"Les Visiteurs(J.M. Poiré, 1993, 프랑스)",13.67
"콰이강의 다리(D. Lean, 1957, GB)",13.48
"신데렐라(W.Disney, 1950, 미국)",13.27
