특성,수백만 개의 계정 수
2021년 1분기,1241.6
2020년 4분기,1225.0
2020년 3분기,1213.0
2020년 2분기,1206.0
2020년 1분기,1203.0
'19년 4분기,1164.8
'19년 3분기,1151.0
2019년 2분기,1132.7
'19년 1분기,1111.7
'18년 4분기,1097.6
'18년 3분기,1082.5
'18년 2분기,1057.7
'18년 1분기,1040.0
'17년 4분기,989.0
'17년 3분기,980.0
2017년 2분기,963.0
'17년 1분기,938.0
'16년 4분기,889.0
'16년 3분기,846.0
'16년 2분기,806.0
'16년 1분기,762.0
'15년 4분기,697.0
'15년 3분기,650.0
'15년 2분기,600.0
'15년 1분기,549.0
'14년 4분기,500.0
'14년 3분기,468.0
'14년 2분기,438.0
'14년 1분기,396.0
2013년 4분기*,355.0
'13년 3분기,336.0
'13년 2분기,235.8
'13년 1분기,194.4
'12년 4분기,160.8
'12년 3분기,209.6
2012년 2분기,151.0
'12년 1분기,100.0
'11년 4분기,50.0
'11년 3분기,14.0
'11년 2분기,2.8
