특성,미화 10억 달러의 자산
제프 베조스(미국),189.3
엘론 머스크(미국),182.2
베르나르 아르노 가족(프랑스),157.7
빌 게이츠(미국),123.7
마크 주커버그(미국),95.7
워렌 버핏(미국),91.7
래리 페이지(미국),90.9
종산산(중국),89.8
세르게이 브린(미국),88.2
래리 엘리슨(미국),85.2
스티브 발머(미국),80.4
무케시 암바니(인도),78.0
프랑수아즈 베탕쿠르 마이어스(Francoise Bettencourt Meyers)와 가족(프랑스),75.6
아만시오 오르테가(스페인),74.0
콜린 정황(중국),69.1
마화텡(중국),69.1
앨리스 월튼(미국),65.1
짐 월튼(미국),64.9
롭 월튼(미국),64.6
Carlos Slim Helú와 가족(멕시코),64.0
잭 마(중국),62.0
맥켄지 베조스(미국),57.4
마이클 블룸버그(미국),54.9
야나이 다다시(일본),53.1
손 마사요시(일본),49.3
왕웨이(중국),48.6
찰스 코크(미국),46.1
줄리아 코크(미국),44.9
