특성,비용(백만 GBP)
기타 식용 제제,111
"곡물, 밀가루, 전분 또는 우유의 조제품; 페이스트리쿡의 제품들",105
"음료, 증류주, 식초",99
"어류 및 갑각류, 연체동물 및 기타 수생 무척추동물",92
"야채, 과일, 견과류 또는 식물의 기타 부분의 조제품",55
고기 및 식용 고기 찌꺼기,54
유제품; 새알; 천연꿀; 따로 분류되거나 포함되지 않은 동물성 식용 제품,51
"육류, 어류 또는 갑각류, 연체동물 또는 기타 수생 무척추동물의 조제품",47
설탕과 설탕 과자,31
코코아 및 코코아 준비,28
시리얼,22
동물성 또는 식물성 지방과 오일 및 이들의 분해 제품; 준비된 식용 지방; 동물성 또는 식물성 왁스,21
식용 야채와 특정 뿌리 및 괴경,18
제분 산업 제품; 맥아; 전분; 이눌린; 밀 글루텐,16
"식용 과일 및 견과류, 감귤류 또는 멜론 껍질",11
식품 산업에서 발생하는 잔류물 및 폐기물; 준비된 동물 사료,5
"커피, 차, 마테 및 향신료",5
살아있는 동물,4
