군,거주인구(백만)
캘리포니아주 로스앤젤레스 카운티,10.04
일리노이주 쿡 카운티,5.15
텍사스 주 해리스 카운티,4.71
애리조나 주 마리코파 카운티,4.49
캘리포니아 주 샌디에이고 카운티,3.34
캘리포니아 주 오렌지 카운티,3.18
플로리다 주 마이애미-데이드 카운티,2.72
텍사스 주 달라스 카운티,2.64
뉴욕주 킹스 카운티,2.56
캘리포니아주 리버사이드 카운티,2.47
네바다주 클라크 카운티,2.27
뉴욕주 퀸스 카운티,2.25
워싱턴 주 킹 카운티,2.25
캘리포니아 주 샌버너디노 카운티,2.18
텍사스 주 태런트 카운티,2.1
텍사스 주 벡사 카운티,2.0
플로리다 주 브로워드 카운티,1.95
캘리포니아주 산타클라라 카운티,1.93
미시간주 웨인 카운티,1.75
캘리포니아 주 앨러미다 카운티,1.67
뉴욕주 뉴욕 카운티,1.63
매사추세츠 주 미들섹스 카운티,1.61
펜실베니아주 필라델피아 카운티,1.58
캘리포니아 주 새크라멘토 카운티,1.55
플로리다주 팜비치 카운티,1.5
