특성,미국 달러 기준 팬 비용 지수
토론토 메이플 리프스**,572.58
보스턴 브루인스,509.8
뉴욕 레인저스,479.48
시카고 블랙호크스,463.2
밴쿠버 커넉스**,456.35
위니펙 제츠**,413.04
워싱턴 캐피털스,411.94
몬트리올 캐나다**,410.04
에드먼턴 오일러스**,393.75
피츠버그 펭귄스,390.84
필라델피아 전단지,386.11
로스앤젤레스 킹스,384.99
미네소타 와일드,383.25
NHL 평균,363.58
캘거리 플레임스**,352.12
산호세 샤크스,344.42
내슈빌 포식자,343.14
캐롤라이나 허리케인,341.17
세인트 루이스 블루스,327.32
뉴저지 데블스,313.85
디트로이트 레드윙스,307.54
뉴욕 아일랜더스,299.59
오타와 상원의원**,296.19
콜로라도 눈사태,295.64
버팔로 세이버스,290.9
애너하임 덕스,288.88
콜럼버스 블루 재킷,288.62
탬파베이 라이트닝,281.02
댈러스 스타즈,263.11
플로리다 팬더스,255.55
