특성,국내 총생산(단위: 10억 달러)
2026*,80.38
2025*,75.67
2024*,71.6
2023*,67.91
2022*,64.5
2021*,61.18
2020*,61.45
2019,63.95
2018,62.34
2017년,60.52
2016년,58.85
2015년,55.41
2014년,51.18
2013년,50.33
2012,46.98
2011년,42.72
2010년,37.63
2009년,30.83
2008년,30.84
2007년,26.86
2006년,22.66
2005년,19.99
2004년,18.56
2003년,17.22
2002년,16.53
2001년,15.93
2000,14.97
1999년,14.21
1998년,13.63
1997년,12.57
1996년,11.64
1995년,11.55
1994년,10.47
1993년,9.59
1992년,8.58
1991년,7.24
1990년,5.72
1989년,5.23
1988년,4.62
1987년,4.54
1986년,4.41
