특성,저축률
2020년 3분기,18.5%
2020년 2분기,35%
2020년 1분기,13.5%
2019년 4분기,16.7%
2019년 3분기,10.6%
2019년 2분기,26.2%
2019년 1분기,10.5%
2018년 4분기,16.5%
2018년 3분기,10%
2018년 2분기,25.2%
2018년 1분기,8.6%
2017년 4분기,15.6%
2017년 3분기,8.3%
2017년 2분기,25%
2017년 1분기,9.9%
2016년 4분기,16.1%
2016년 3분기,10.8%
2016년 2분기,26.5%
2016년 1분기,10.6%
2015년 4분기,15%
2015년 3분기,10.6%
2015년 2분기,25.7%
2015년 1분기,10.4%
2014년 4분기,15.3%
2014년 3분기,10.1%
2014년 2분기,26.4%
2014년 1분기,11.2%
2013년 4분기,14.6%
2013년 3분기,9.5%
2013년 2분기,25.4%
2013년 1분기,9.5%
2012년 4분기,13.6%
2012년 3분기,9.6%
2012년 2분기,25.4%
2012년 1분기,9.6%
2011년 4분기,11.5%
2011년 3분기,7.3%
2011년 2분기,25.7%
2011년 1분기,7.6%
2010년 4분기,10%
2010년 3분기,9.1%
2010년 2분기,23.6%
2010년 1분기,8.6%
