특성,GDP(10억 달러)
2026*,924.2
2025*,861.83
2024*,805.91
2023*,752.83
2022*,697.43
2021*,642.12
2020,594.18
2019,595.77
2018,587.43
2017년,526.75
2016년,472.26
2015년,477.58
2014년,545.28
2013년,524.41
2012,500.85
2011년,528.57
2010년,479.16
2009년,440.14
2008년,533.8
2007년,429.47
2006년,344.76
2005년,306.15
2004년,255.28
2003년,217.51
2002년,198.68
2001년,190.43
2000,171.28
1999년,167.8
1998년,172.05
1997년,157.18
1996년,156.68
1995년,139.09
1994년,103.68
1993년,90.37
1992년,88.71
1991년,80.45
1990년,62.08
1989년,66.9
1988년,68.61
1987년,63.71
1986년,73.68
