특성,1인당 GDP(미국 달러)
2026*,570.48
2025*,554.76
2024*,541.44
2023*,531.59
2022*,533.43
2021*,541.87
2020*,526.51
2019*,527.03
2018*,533.97
2017년,495.81
2016년,525.95
2015년,592.9
2014년,713.53
2013년,716.15
2012,566.37
2011년,448.32
2010년,401.84
2009년,391.21
2008년,409.44
2007년,360.43
2006년,323.26
2005년,292.1
2004년,264.75
2003년,265.32
2002년,251.7
2001년,228.03
2000,205.25
1999년,218.91
1998년,223.94
1997년,286.07
1996년,318.65
1995년,295.71
1994년,308.75
1993년,259.19
1992년,228.23
1991년,261.75
1990년,219.46
1989년,405.25
1988년,451.56
1987년,281.36
1986년,330.04
