특성,비용(단위: 백만 달러)
2021년 1분기,4.79
2020년 4분기,4.69
2020년 3분기,4.9
2020년 2분기,4.83
2020년 1분기,5.26
2019년 4분기,4.43
2019년 3분기,4.77
2019년 2분기,4.11
2019년 1분기,3.4
2018년 4분기,2.83
2018년 3분기,2.82
2018년 2분기,3.67
2018년 1분기,3.3
2017년 4분기,3.07
2017년 3분기,2.85
2017년 2분기,2.38
2017년 1분기,3.21
2016년 4분기,1.7
2016년 3분기,2.02
2016년 2분기,2.19
2016년 1분기,2.78
2015년 4분기,2.13
2015년 3분기,2.59
2015년 2분기,2.69
2015년 1분기,2.44
2014년 4분기,1.99
2014년 3분기,2.45
2014년 2분기,2.12
2014년 1분기,2.78
2013년 4분기,1.48
2013년 3분기,1.44
2013년 2분기,1.06
2013년 1분기,2.45
2012년 4분기,1.4
2012년 3분기,0.84
2012년 2분기,0.96
2012년 1분기,0.65
2011년 4분기,0.44
2011년 3분기,0.36
2011년 2분기,0.32
2011년 1분기,0.23
