특성,상황 A,상황 B
루이스 이나시우 룰라 다 실바(PT),39%,-
자이르 보우소나루(PSL),19%,-
마리나 실바(REDE),8%,-
제랄도 알크민(PSDB),6%,-
시로 고메스(PDT),5%,-
알바로 디아스(PODE),삼%,-
주앙 아메두(NOVO),2%,-
헨리크 메이렐레스(MDB),1%,-
길레르메 불로스(PSOL),1%,-
카보 다치올로(PATRI),1%,-
베라 루시아(PSTU),1%,-
주앙 굴라르 필류(PPL),0%,-
호세 마리아 아이마엘(DC),0%,-
비어 있거나 무효화된 투표용지 / 투표 없음,11%,-
모른다,삼%,-
자이르 보우소나루,-,22%
마리나 실바,-,16%
치로 고메스,-,10%
제랄도 알크민,-,9%
알바로 디아스,-,4%
페르난도 하다드(PT),-,4%
주앙 아메도,-,2%
헨리케 메이렐레스,-,2%
베라 루시아,-,1%
카보 다치올로,-,1%
길레르메 불로스,-,1%
주앙 굴라르 필료,-,1%
호세 마리아 에이마엘,-,0%
비어 있거나 무효화된 투표용지/투표 없음,-,22%
모른다,-,6%
