특성,순이익(단위: 백만 달러)
21년 2분기,912
1분기 21,29
20년 4분기,-710
20년 3분기,-4718
2020년 2분기,468
1분기 20,2128
19년 4분기,785
19년 3분기,1430
19년 2분기,5431
19년 1분기,2788
18년 4분기,2322
18년 3분기,2916
18년 2분기,2937
18년 1분기,4423
17년 4분기,1747
17년 3분기,2366
17년 2분기,2388
17년 1분기,2479
16년 4분기,1771
16년 3분기,2597
16년 2분기,2143
1분기 16,2880
15년 4분기,1609
15년 3분기,2483
15년 2분기,2108
1분기 15,2228
14년 4분기,1499
14년 3분기,2245
14년 2분기,1917
1분기 14,1840
13년 4분기,1394
13년 3분기,1847
13년 2분기,1513
1분기 13,1382
12년 4분기,1244
12년 3분기,1831
2012년 2분기,1143
1분기 12,1464
11년 4분기,1087
11년 3분기,1476
2011년 2분기,942
11년 1분기,1302
10년 4분기,835
10년 3분기,1331
2010년 2분기,953
1분기 10,844
