브랜드/부문,부문별 시장 점유율 비율
로레알 슈페리어 프레퍼런스/여성 헤어 컬러링,12.1%
Garnier Nutrisse/ 여성용 헤어 컬러링,11%
TRESemmé 트레스 투/헤어 스프레이/스프리츠,20.6%
로레알 엑셀런스/여성용 헤어 컬러링,9.2%
Just For Men/남자 헤어 컬러링,63.3%
클레롤 나이스 앤 이지/여성 헤어 컬러링,8.3%
Revlon ColorSilk Beautiful Color/여성 헤어 컬러링,7.7%
콘에어/헤어 가전제품,13.1%
클레롤 나이스 앤 이지 루트 터치업/여성 헤어 컬러링,5.6%
오가닉스/헤어 컨디셔너/크림 린스,4.3%
수아브 프로페셔널즈/레귤러 샴푸,3.9%
로레알 페리아/ 여성용 헤어 컬러링,5.3%
오가닉스/레귤러 샴푸,3.5%
로게인/육모제품,57.2%
클레롤 내츄럴 인스팅트/여성 헤어 컬러링,4.2%
Conair Infiniti Pro/헤어 가전제품,7.5%
수아브 내추럴스/레귤러 샴푸,2.8%
헤드앤숄더 건성두피케어/비듬샴푸,10.1%
수아브 프로페셔널/헤어 컨디셔너/크림 린스,2.6%
수아브/헤어 스프레이/스프리츠,7.2%
