특성,백만 달러로 모금된 돈
"빠른 게임 완료(Prevent Cancer Foundation, 2014년 1월)",1.01
"빠르게 완료되는 하계 올림픽(국경 없는 의사회, 2014년 6월)",0.71
"빠른 게임 완료(Prevent Cancer Foundation, 2015년 1월)",1.57
"빠르게 완료되는 하계 올림픽(국경 없는 의사회, 2015년 7월)",1.2
"빠른 게임 완료(Prevent Cancer Foundation, 2016년 1월)",1.2
"빠르게 완료되는 하계 올림픽(국경 없는 의사회, 2016년 7월)",1.3
"빠른 게임 완료(Prevent Cancer Foundation, 2017년 1월)",2.2
"빠르게 완료되는 하계 올림픽(국경 없는 의사회, 2017년 7월)",1.7
"빠른 게임 완료(Prevent Cancer Foundation, 2018년 1월)",2.2
"빠르게 완료되는 하계 올림픽(국경 없는 의사회, 2018년 7월)",2.1
"빠른 게임 완료(Prevent Cancer Foundation, 2019년 1월)",2.39
"빠르게 완료되는 하계 올림픽(국경 없는 의사회, 2019년 6월)",3.0
"멋진 게임을 빠르게 완료(예방 암 재단, 2020년 1월)",3.1
"빠르게 완료되는 하계 올림픽(국경 없는 의사회, 2020년 8월)",2.3
"멋진 게임을 빠르게 완료(예방 암 재단, 2021년 1월)",2.76
