특성,광고하는,데이터 라이선스 및 기타
2021년 1분기,899.0,137.0
2020년 4분기,1155.0,125.0
2020년 3분기,808.45,123.0
2020년 2분기,561.99,121.44
2020년 1분기,682.19,125.45
'19년 4분기,884.55,122.8
'19년 3분기,702.26,121.46
2019년 2분기,727.12,114.26
'19년 1분기,679.47,107.42
'18년 4분기,791.37,117.47
'18년 3분기,649.82,108.3
'18년 2분기,601.06,109.48
'18년 1분기,575.16,89.72
'17년 4분기,644.26,87.3
'17년 3분기,502.8,86.83
2017년 2분기,489.15,84.71
'17년 1분기,473.78,74.47
'16년 4분기,637.82,79.39
'16년 3분기,544.97,70.97
'16년 2분기,534.52,67.43
'16년 1분기,530.74,63.78
'15년 4분기,640.68,69.79
'15년 3분기,512.87,56.37
'15년 2분기,452.28,50.11
'15년 1분기,388.21,47.73
'14년 4분기,432.0,47.08
'14년 3분기,320.2,41.07
'14년 2분기,277.44,34.73
'14년 1분기,226.05,24.44
'13년 4분기,219.68,23.0
'13년 3분기,153.44,15.14
'13년 2분기,120.97,18.32
'13년 1분기,100.46,13.88
