특성,응답자 비율
20201년 6월 3일,82%
2021년 5월 20일,81%
2021년 5월 6일,70%
2021년 4월 22일,64%
2021년 4월 8일,67%
2021년 3월 25일,68%
2021년 3월 11일,68%
2021년 2월 25일,68%
2021년 2월 11일,69%
2021년 1월 28일,71%
2021년 1월 14일,69%
2021년 1월 3일,72%
2020년 12월 17일,70%
2020년 12월 3일,70%
2020년 11월 19일,73%
2020년 11월 5일,69%
2020년 10월 22일,70%
2020년 10월 8일,70%
2020년 9월 24일,70%
2020년 9월 10일,72%
2020년 8월 27일,76%
2020년 8월 13일,76%
2020년 8월 2일,75%
2020년 7월 19일,81%
2020년 7월 6일,80%
2020년 6월 18일,84%
2020년 6월 4일,80%
2020년 5월 21일,85%
2020년 4월 30일,84%
2020년 4월 23일,86%
2020년 4월 16일,83%
2020년 4월 9일,85%
2020년 4월 2일,83%
2020년 3월 26일,75%
2020년 3월 19일,74%
2020년 3월 12일,67%
2020년 3월 5일,70%
2020년 2월 27일,68%
2020년 2월 20일,44%
