특성,1조 단위의 실질 GDP(2012년) 미국 달러
'11년 1분기,15.71
'11년 2분기,15.83
'11년 3분기,15.82
'11년 4분기,16.0
'12년 1분기,16.13
2012년 2분기,16.2
'12년 3분기,16.22
'12년 4분기,16.24
'13년 1분기,16.38
'13년 2분기,16.4
'13년 3분기,16.53
'13년 4분기,16.66
'14년 1분기,16.62
'14년 2분기,16.84
'14년 3분기,17.05
'14년 4분기,17.14
'15년 1분기,17.31
'15년 2분기,17.42
'15년 3분기,17.49
'15년 4분기,17.51
'16년 1분기,17.61
'16년 2분기,17.67
'16년 3분기,17.76
'16년 4분기,17.88
'17년 1분기,17.98
2017년 2분기,18.05
'17년 3분기,18.18
'17년 4분기,18.36
'18년 1분기,18.53
'18년 2분기,18.65
'18년 3분기,18.75
'18년 4분기,18.81
'19년 1분기,18.95
2019년 2분기,19.02
'19년 3분기,19.14
'19년 4분기,19.25
2020년 1분기,19.01
2020년 2분기,17.3
2020년 3분기,18.6
2020년 4분기,18.79
2021년 1분기,19.09
