특성,전년대비 인플레이션율
2026*,6%
2025*,6.25%
2024*,6.8%
2023*,7.31%
2022*,8.22%
2021*,8.97%
2020*,9.89%
2019,7.14%
2018,9.84%
2017년,12.37%
2016년,17.46%
2015년,17.15%
2014년,15.49%
2013년,11.67%
2012,7.07%
2011년,7.68%
2010년,6.7%
2009년,13.14%
2008년,16.51%
2007년,10.73%
2006년,11.68%
2005년,15.1%
2004년,12.67%
2003년,26.63%
2002년,14.85%
2001년,32.93%
2000,25.11%
1999년,12.47%
1998년,19.21%
1997년,24.83%
1996년,44.49%
1995년,59.32%
1994년,24.87%
1993년,24.94%
1992년,10.05%
1991년,18.1%
1990년,37.24%
1989년,25.24%
1988년,31.37%
1987년,39.76%
1986년,24.54%
