특성,프랑스,스페인,이탈리아,독일,EU-27
2021년 3월,84.1,83.1,90.0,70.8,87.6
2021년 2월,89.0,89.0,86.3,70.4,86.7
2021년 1월,96.7,102.9,92.6,76.3,91.5
2020년 12월,98.2,106.8,94.2,83.4,97.5
2020년 11월,96.8,106.6,97.1,83.3,98.1
2020년 10월,101.2,114.5,94.9,80.9,97.2
2020년 9월,102.5,103.8,87.8,75.1,91.7
2020년 8월,94.4,94.5,88.9,69.7,86.3
2020년 7월,79.3,97.1,82.5,75.7,86.6
2020년 6월,66.9,80.8,51.9,70.4,76.6
2020년 5월,37.7,42.5,40.6,45.6,49.7
2020년 4월,4.5,8.7,11.5,14.3,16.4
2020년 3월,56.0,58.9,32.2,59.6,66.0
2020년 2월,102.7,106.1,94.4,89.4,100.9
2020년 1월,98.1,105.7,90.0,89.1,100.1
