특성,국내 총생산(단위: 10억 달러)
2026*,567.26
2025*,517.27
2024*,471.42
2023*,428.12
2022*,389.75
2021*,354.87
2020*,340.82
2019,329.54
2018,304.02
2017년,277.07
2016년,252.15
2015년,236.84
2014년,232.89
2013년,212.74
2012,195.17
2011년,171.37
2010년,143.26
2009년,129.05
2008년,124.77
2007년,98.43
2006년,84.3
2005년,73.2
2004년,62.88
2003년,50.23
2002년,44.56
2001년,41.3
2000,39.59
1999년,36.44
1998년,34.58
1997년,34.15
1996년,31.35
1995년,26.41
1994년,20.71
1993년,16.74
1992년,12.53
1991년,9.7
1990년,8.22
1989년,7.99
1988년,29.5
1987년,53.39
1986년,43.01
