특성,국내 총생산(단위: 10억 달러)
2026*,87.74
2025*,85.21
2024*,83.28
2023*,81.26
2022*,79.28
2021*,74.12
2020*,63.19
2019,76.33
2018,79.79
2017년,70.6
2016년,65.48
2015년,68.92
2014년,81.08
2013년,78.78
2012,76.62
2011년,68.02
2010년,57.05
2009년,48.39
2008년,60.91
2007년,42.09
2006년,37.22
2005년,31.08
2004년,24.76
2003년,21.63
2002년,20.14
2001년,19.45
2000,19.51
1999년,15.59
1998년,14.0
1997년,15.84
1996년,15.28
1995년,13.8
1994년,12.92
1993년,12.49
1992년,12.45
1991년,11.34
1990년,11.69
1989년,9.37
1988년,8.39
1987년,8.63
1986년,8.23
