특성,USD MXN 환율
11월 20일,20.04
10월 20일,21.35
9월 20일,22.37
8월 20일,21.75
7월 20일,22.0
6월 20일,23.06
5월 20일,22.31
4월 20일,23.74
3월 20일,23.83
2월 20일,19.46
1월 20일,18.78
12월 19일,18.92
11월 19일,19.55
10월 19일,19.09
9월 19일,19.68
8월 19일,20.12
7월 19일,19.06
6월 19일,19.17
5월 19일,19.53
4월 19일,19.0
3월 19일,19.36
2월 19일,19.16
1월 19일,19.11
12월 18일,19.65
11월 18일,20.22
10월 18일,20.06
9월 18일,18.79
8월 18일,19.1
7월 18일,18.53
6월 18일,20.15
5월 18일,19.78
4월 18일,18.64
3월 18일,18.17
2월 18일,18.83
1월 18일,18.59
12월 17일,19.7
11월 17일,18.55
10월 17일,19.23
9월 17일,18.15
8월 17일,17.74
7월 17일,17.76
6월 17일,18.03
5월 17일,18.72
4월 17일,19.06
3월 17일,18.73
2월 17일,19.9
