특성,국내 총생산(단위: 10억 달러)
2026*,704.18
2025*,669.69
2024*,636.98
2023*,608.07
2022*,577.91
2021*,538.74
2020,501.89
2019,544.15
2018,506.4
2017년,456.52
2016년,413.5
2015년,401.27
2014년,407.34
2013년,420.33
2012,397.56
2011년,370.82
2010년,341.11
2009년,281.71
2008년,291.38
2007년,262.94
2006년,221.76
2005년,189.32
2004년,172.9
2003년,152.28
2002년,134.3
2001년,120.3
2000,126.39
1999년,126.67
1998년,113.68
1997년,150.18
1996년,183.04
1995년,169.28
1994년,146.68
1993년,128.89
1992년,115.58
1991년,101.25
1990년,88.47
1989년,74.64
1988년,63.7
1987년,52.2
1986년,44.52
