특성,최초 구매자,구매 후 임대,다른
2020년 4분기,24.32%,11.15%,39.6%
2020년 3분기,22.87%,12.53%,32.94%
2020년 2분기,18.12%,14.4%,23.4%
2020년 1분기,19.83%,13.96%,27%
'19년 4분기,21.44%,12.37%,30.67%
'19년 3분기,21.91%,12.29%,31.33%
2019년 2분기,21.27%,13.19%,29.2%
'19년 1분기,19.2%,13.98%,26.89%
'18년 4분기,21.26%,12.51%,29.73%
'18년 3분기,20.97%,12.07%,30.96%
'18년 2분기,21.37%,13.17%,28.63%
'18년 1분기,19.56%,14.35%,27.34%
'17년 4분기,21.2%,12.92%,30.94%
'17년 3분기,21.07%,13.02%,32.37%
2017년 2분기,22.04%,13.06%,31.55%
'17년 1분기,19.22%,14.71%,27.87%
'16년 4분기,22.06%,14.35%,30.08%
'16년 3분기,22.03%,13.79%,30.73%
'16년 2분기,22%,13.9%,27.84%
'16년 1분기,16.91%,21.44%,30.79%
'15년 4분기,20.87%,16.25%,32.34%
'15년 3분기,20.39%,16.07%,33.93%
'15년 2분기,20.38%,16.25%,31.12%
'15년 1분기,18.92%,17.02%,30.11%
