특성,득점한 점수
"오스틴 카(노트르담 대 오하이오, 1970)",61
"빌 브래들리(프린스턴 대 위치타, 1965)",58
"오스카 로버트슨(신시내티 대 아칸소, 1958)",56
"오스틴 카(노트르담 대 켄터키, 1970)",52
"오스틴 카(노트르담 대 TCU, 1971)",52
"데이비드 로빈슨(해군 대 미시간, 1987)",50
"엘빈 헤이스(휴스턴 vs. 로욜라 시카고, 1968)",49
"Hal Lear(템플 대 SMU, 1956)",48
"오스틴 카(노트르담 대 휴스턴, 1971)",47
"데이브 코진(드폴 대 루이빌, 1978)",46
"밥 후브렉스(워싱턴 대 시애틀 U., 1953)",45
"오스틴 카(노트르담 대 아이오와, 1970)",45
"보 킴블(LMU (CA) 대 뉴멕시코 스트리트, 1990)",45
"클라이드 로벨렛(캔자스 대 세인트루이스, 1952)",44
"로드 손(웨스트 버지니아 대 세인트 조셉, 1963)",44
"댄 아이셀(켄터키 대 노트르담, 1970)",44
"빌 월튼(UCLA 대 멤피스, 1973)",44
"허시 호킨스(브래들리 대 오번, 1988)",44
"트래비스 메이스(텍사스 vs. 조지아, 1990)",44
"글렌 로빈슨(퍼듀 대 캔자스, 1994)",44
