특성,전년대비 인플레이션율
2026*,1.9%
2025*,1.83%
2024*,1.56%
2023*,0.98%
2022*,0.83%
2021*,0.16%
2020*,-1.26%
2019,0.52%
2018,0.77%
2017년,1.14%
2016년,0.01%
2015년,-1.09%
2014년,-1.39%
2013년,-0.85%
2012,1.04%
2011년,3.12%
2010년,4.7%
2009년,1.35%
2008년,4.23%
2007년,2.99%
2006년,3.31%
2005년,3.49%
2004년,3.02%
2003년,3.45%
2002년,3.92%
2001년,3.64%
2000,2.9%
1999년,2.14%
1998년,4.52%
1997년,5.44%
1996년,7.87%
1995년,8.82%
1994년,10.88%
1993년,14.35%
1992년,15.87%
1991년,19.5%
1990년,20.35%
1989년,13.71%
1988년,13.48%
1987년,16.36%
1986년,23.11%
