특성,에너지,궤조,농업
'19년 11월,87.7,86.1,98.4
19년 10월,83.4,86.3,94.9
'19년 9월,86.6,87.3,93.1
'19년 8월,82.8,85.9,92.8
'19년 7월,88.0,91.5,95.7
19년 6월,85.9,88.7,97.1
19년 5월,96.2,88.8,94.5
'19년 4월,99.0,92.1,95.5
'19년 3월,94.0,91.6,95.4
'19년 2월,91.0,90.5,96.2
19년 1월,86.8,85.6,95.9
'18년 12월,85.4,85.9,94.9
'18년 11월,96.3,87.5,94.5
18년 10월,113.9,89.6,95.8
'18년 9월,112.5,87.4,95.0
'18년 8월,106.3,88.2,97.5
'18년 7월,107.8,90.1,99.2
18년 6월,106.8,98.2,102.2
18년 5월,107.9,98.0,105.5
'18년 4월,101.0,97.6,105.3
'18년 3월,95.1,95.4,103.4
'18년 2월,94.7,100.0,101.9
'18년 1월,100.0,100.0,100.0
