특성,시장 점유율
2020년 8월,0.33%
2020년 7월,0.48%
2020년 6월,0.51%
2020년 5월,0.5%
2020년 4월,0.56%
2020년 3월,0.48%
2020년 2월,0.51%
2020년 1월,0.6%
2019년 12월,0.58%
2019년 11월,0.58%
2019년 10월,1.9%
2019년 9월,0.84%
2019년 8월,0.96%
2019년 7월,0.89%
2019년 6월,1.11%
2019년 5월,1.32%
2019년 4월,1.51%
2019년 3월,1.62%
2019년 2월,2%
2019년 1월,3.5%
2018년 12월,3.56%
2018년 11월,3.3%
2018년 10월,2.03%
2018년 9월,1.91%
2018년 8월,1.66%
2018년 7월,1.41%
2018년 6월,1.68%
2018년 5월,1.49%
2018년 4월,1.88%
2018년 3월,1.56%
2018년 2월,1.25%
2018년 1월,1.32%
2017년 12월,1.6%
2017년 11월,1.79%
2017년 10월,2.27%
2017년 9월,2.57%
