특성,전년도 대비 백분율 변화
석유 및 가스,27.16%
반품 또는 재수입된 상품,21.98%
중고 또는 중고 상품,4.83%
축산물 및 축산물,1.75%
기타 제조 상품,1.68%
가공된 금속 제품,1.23%
"특별 분류 조항, Nspf",0.83%
화학,0.81%
의류 및 액세서리,0.23%
식품 및 동종 제품,0.08%
"전기 장비, 가전제품 및 부품",-0.48%
재수출,-1.03%
운송 장비,-1.65%
"인쇄, 출판 및 유사 제품",-2.06%
플라스틱 및 고무 제품,-2.72%
가구 및 비품,-2.86%
컴퓨터 및 전자 제품,-2.99%
섬유 및 직물,-3.01%
가죽 및 관련 제품,-3.58%
섬유 공장 제품,-4.05%
기계류(전기 제외),-4.29%
"농산물, 합계",-4.49%
스크랩 및 폐기물,-4.89%
비금속 광물 제품,-5.44%
음료와 담배,-6.15%
신선하거나 냉장된 생선; 기타 수산물,-6.42%
종이 제품,-7.08%
석유 및 석탄 제품,-7.91%
광물과 광석,-9.28%
목재 제품,-12.63%
1차 금속제품,-13.06%
"임업 제품, Nspf",-27.86%
