특성,수익(미화 10억 달러)
2020년 4분기,4.98
2020년 3분기,5.53
2020년 2분기,4.28
2020년 1분기,4.5
2019년 4분기,3.83
'19년 3분기,4.42
'19년 2분기,5.07
'19년 1분기,4.54
2018년 4분기,3.59
'18년 3분기,4.03
'18년 2분기,4.36
'18년 1분기,4.09
2017년 4분기,3.48
'17년 3분기,3.97
'17년 2분기,4.18
'17년 1분기,3.74
2016년 4분기,3.37
'16년 3분기,3.55
'16년 2분기,3.91
'16년 1분기,3.51
2015년 4분기,3.18
'15년 3분기,3.45
'15년 2분기,3.72
'15년 1분기,3.37
2014년 4분기,3.41
'14년 3분기,3.58
'14년 2분기,4.38
'14년 1분기,3.71
2013년 4분기,2.56
'13년 3분기,2.67
'13년 2분기,2.87
'13년 1분기,2.53
2012년 4분기,2.65
'12년 3분기,2.58
'12년 2분기,2.59
'12년 1분기,2.28
2011년 4분기,2.68
'11년 3분기,2.43
'11년 2분기,2.52
'11년 1분기,2.35
