특성,전년대비 인플레이션율
2026*,3.05%
2025*,3.05%
2024*,3.03%
2023*,3.26%
2022*,3.51%
2021*,3.63%
2020,3.32%
2019,3.37%
2018,2.85%
2017년,2.41%
2016년,0.42%
2015년,-0.07%
2014년,-0.22%
2013년,1.72%
2012,5.67%
2011년,3.92%
2010년,4.87%
2009년,4.2%
2008년,6.05%
2007년,7.97%
2006년,3.92%
2005년,3.56%
2004년,6.75%
2003년,4.66%
2002년,5.27%
2001년,9.16%
2000,9.78%
1999년,10.02%
1998년,14.17%
1997년,18.29%
1996년,23.46%
1995년,28.3%
1994년,18.87%
1993년,22.45%
1992년,22.95%
1991년,34.23%
1990년,28.97%
1989년,16.95%
1988년,15.79%
1987년,8.68%
1986년,5.29%
