연도(조건부),직무담당자 수,직원
2014년(FS27),33,48
2013~2014(FS26),572,300
2013년(FS25),548,350
2012~2013년(FS24),693,462
2012년(FS23),637,576
2011~2012(FS22),590,579
2011년(FS21),662,579
2010~2011년(FS20),729,547
2010년(FS19),770,521
2009~2010(FS18),644,494
2009년(FS17),629,407
2008~2009년(FS16),441,367
2008년(FS15),479,372
2007~2008년(FS14),428,413
2007년(FS13),315,411
2006~2007년(FS12),290,331
2006년(FS11),258,231
2005~2006년(FS10),168,209
2005년(FS09),85,106
2004-2005 (FS08),109,109
2004년(FS07),90,77
2003~2004(FS06),42,34
2003년(FS05),30,29
2002-2003 (FS04),31,30
2002년(FS03),29,32
2002년(FB2),24,-
2002년(FB1),24,-
