특성,전년대비 인플레이션율
2026*,4.96%
2025*,4.95%
2024*,5.04%
2023*,5.48%
2022*,7.66%
2021*,9.47%
2020,8.64%
2019,9.38%
2018,9.22%
2017년,11.54%
2016년,21.73%
2015년,21.86%
2014년,23.78%
2013년,28.28%
2012,21.3%
2011년,7.62%
2010년,7.41%
2009년,8.42%
2008년,8.72%
2007년,8.52%
2006년,8.34%
2005년,8.16%
2004년,7.98%
2003년,7.83%
2002년,7.71%
2001년,7.64%
2000,29.6%
1999년,44.76%
1998년,29.78%
1997년,9.14%
1996년,37.73%
1995년,83.15%
1994년,34.66%
1993년,22.78%
1992년,23.24%
1991년,8.23%
1990년,11.86%
1989년,12.45%
1988년,33.84%
1987년,25.05%
1986년,14.18%
