특성,QS 점수
부에노스아이레스 대학교(아르헨티나),67.5
Universidad Nacional Autónoma de México (멕시코),58.8
상파울루 대학교(브라질),54.8
폰티피시아 유니베르시다드 카톨리카 데 칠레(칠레),53.8
Tecnológico de Monterrey(멕시코),49.9
유니베르시다드 데 칠레(칠레),45.6
로스 안데스 대학교(콜롬비아),39.6
Universidade Estadual de Campinas (브라질),39.2
콜롬비아 국립대학교(콜롬비아),36.9
Pontificia Universidad Católica Argentina (아르헨티나),31.9
Universidad de Palermo (아르헨티나),29.0
Universidade Federal do Rio de Janeiro (브라질),28.8
유니버시다드 오스트랄(아르헨티나),28.2
상파울루 연방대학교(브라질),27.1
Pontificia Universidad Javeriana (콜롬비아),26.8
