특성,1조 멕시코 페소 단위의 GDP
2020년 4분기,17.54
2020년 3분기,16.98
2020년 2분기,15.11
2020년 1분기,18.17
2019년 4분기,18.36
2019년 3분기,18.57
2019년 2분기,18.57
2019년 1분기,18.57
2018년 4분기,18.51
2018년 3분기,18.56
2018년 2분기,18.53
2018년 1분기,18.5
2017년 4분기,18.29
2017년 3분기,18.05
2017년 2분기,18.13
2017년 1분기,18.06
2016년 4분기,17.97
2016년 3분기,17.77
2016년 2분기,17.6
2016년 1분기,17.53
2015년 4분기,17.43
2015년 3분기,17.47
2015년 2분기,17.26
2015년 1분기,17.06
2014년 4분기,16.97
2014년 3분기,16.78
2014년 2분기,16.73
2014년 1분기,16.52
2013년 4분기,16.41
2013년 3분기,16.31
2013년 2분기,16.16
2013년 1분기,16.26
2012년 4분기,16.22
2012년 3분기,16.08
2012년 2분기,15.98
2012년 1분기,15.85
2011년 4분기,15.75
2011년 3분기,15.64
2011년 2분기,15.34
2011년 1분기,15.27
2010년 4분기,15.15
2010년 3분기,15.03
2010년 2분기,14.89
2010년 1분기,14.73
