특성,국내 총생산(단위: 10억 달러)
2026*,604.26
2025*,582.13
2024*,560.56
2023*,537.76
2022*,514.96
2021*,481.8
2020*,428.62
2019,445.13
2018,455.3
2017년,417.09
2016년,395.73
2015년,382.01
2014년,442.7
2013년,430.2
2012,409.66
2011년,431.61
2010년,392.6
2009년,401.32
2008년,432.01
2007년,389.23
2006년,336.3
2005년,316.27
2004년,301.32
2003년,262.21
2002년,214.24
2001년,197.51
2000,197.38
1999년,217.48
1998년,218.56
1997년,213.05
1996년,237.34
1995년,241.23
1994년,203.97
1993년,190.38
1992년,195.51
1991년,174.44
1990년,166.87
1989년,133.26
1988년,133.59
1987년,121.77
1986년,97.38
