특성,1인당 GDP(미국 달러)
2026*,661.56
2025*,634.93
2024*,608.97
2023*,581.96
2022*,551.08
2021*,521.49
2020*,501.76
2019*,539.95
2018*,533.2
2017*,515.94
2016*,476.23
2015*,467.24
2014*,530.86
2013*,541.07
2012*,518.16
2011년 *,531.27
2010년,471.96
2009년,467.54
2008년,536.35
2007년,438.66
2006년,338.75
2005년,319.54
2004년,284.49
2003년,368.8
2002년,319.22
2001년,334.44
2000,293.61
1999년,279.92
1998년,297.25
1997년,297.12
1996년,354.74
1995년,284.82
1994년,269.56
1993년,320.56
1992년,302.0
1991년,272.53
1990년,338.95
1989년,283.4
1988년,293.21
1987년,304.15
1986년,423.6
