특성,전년대비 인플레이션율
2026*,2.9%
2025*,2.5%
2024*,2.1%
2023*,1.4%
2022*,1.06%
2021*,1.2%
2020*,0.72%
2019,2.1%
2018,2.22%
2017년,1.63%
2016년,-0.02%
2015년,0.8%
2014년,4.52%
2013년,5.23%
2012,4.5%
2011년,4.88%
2010년,5.66%
2009년,7.84%
2008년,13.43%
2007년,9.36%
2006년,11.47%
2005년,13.79%
2004년,12.32%
2003년,9.44%
2002년,9.17%
2001년,11.26%
2000,10.95%
1999년,10.05%
1998년,11.67%
1997년,13.25%
1996년,17.51%
1995년,23.18%
1994년,13.54%
1993년,9.78%
1992년,21.81%
1991년,28.67%
1990년,19.07%
1989년,16.49%
1988년,20.85%
1987년,16.81%
1986년,11.79%
