특성,국내 총생산(단위: 10억 달러)
2026*,108.62
2025*,101.75
2024*,95.33
2023*,89.35
2022*,84.9
2021*,81.4
2020*,77.07
2019,76.69
2018,73.12
2017년,71.58
2016년,66.03
2015년,62.18
2014년,57.84
2013년,52.99
2012,49.9
2011년,47.42
2010년,41.49
2009년,38.0
2008년,40.24
2007년,35.03
2006년,31.31
2005년,28.18
2004년,24.98
2003년,23.09
2002년,21.92
2001년,19.74
2000,18.12
1999년,17.39
1998년,18.44
1997년,16.98
1996년,14.99
1995년,14.04
1994년,12.5
1993년,11.03
1992년,10.15
1991년,9.16
1990년,7.49
1989년,8.56
1988년,7.43
1987년,6.86
1986년,5.92
