특성,백만 달러 단위의 수익
2021년 1분기,263.82
2020년 4분기,343.05
2020년 3분기,304.02
2020년 2분기,395.65
2020년 1분기,374.15
'19년 4분기,612.32
'19년 3분기,495.61
2019년 2분기,532.58
'19년 1분기,578.41
'18년 4분기,799.93
'18년 3분기,592.88
'18년 2분기,617.4
'18년 1분기,626.54
'17년 4분기,873.17
'17년 3분기,634.47
2017년 2분기,662.62
'17년 1분기,673.63
'16년 4분기,904.87
'16년 3분기,686.56
'16년 2분기,723.76
2016년 1분기*,698.44
'15년 4분기,917.17
'15년 3분기,713.6
'15년 2분기,738.4
'15년 1분기,750.36
'14년 4분기,883.23
2014년 3분기*,714.27
'14년 2분기,716.21
'14년 1분기,728.42
'13년 4분기,768.45
'13년 3분기,595.06
'13년 2분기,608.75
'13년 1분기,601.4
'12년 4분기,638.3
'12년 3분기,568.55
2012년 2분기,568.34
'12년 1분기,559.28
'11년 4분기,492.16
'11년 3분기,430.16
'11년 2분기,392.58
'11년 1분기,295.52
'10년 4분기,172.22
'10년 3분기,81.78
'10년 2분기,38.67
'10년 1분기,20.27
2009년 4분기,9.25
2009년 3분기,4.0
2009년 2분기,1.21
