특성,전년대비 인플레이션율
2026*,2.01%
2025*,1.98%
2024*,1.71%
2023*,1.54%
2022*,1.44%
2021*,1.08%
2020,0.79%
2019,1.52%
2018,1.74%
2017년,1.26%
2016년,0.9%
2015년,1.18%
2014년,0.77%
2013년,0.98%
2012,3.23%
2011년,2.51%
2010년,2.04%
2009년,1.84%
2008년,4.68%
2007년,0.7%
2006년,2.58%
2005년,2.52%
2004년,2.73%
2003년,1.93%
2002년,2.61%
2001년,2.51%
2000,3.04%
1999년,2.29%
1998년,3.69%
1997년,3.92%
1996년,1.96%
1995년,3.97%
1994년,4.13%
1993년,4.03%
1992년,1.85%
1991년,2.55%
1990년,2.98%
1989년,0.87%
1988년,0.95%
1987년,0.42%
1986년,2.03%
