특성,전년대비 인플레이션율
2026*,5.52%
2025*,5.52%
2024*,5.52%
2023*,5.57%
2022*,5.63%
2021*,5.76%
2020,5.65%
2019,5.48%
2018,5.78%
2017년,5.44%
2016년,5.92%
2015년,6.41%
2014년,7.01%
2013년,7.54%
2012,6.23%
2011년,11.46%
2010년,9.37%
2009년,4.91%
2008년,8.9%
2007년,9.11%
2006년,6.77%
2005년,7.04%
2004년,6.1%
2003년,5.36%
2002년,3.72%
2001년,1.91%
2000,2.48%
1999년,6.18%
1998년,8.65%
1997년,4.96%
1996년,2.46%
1995년,10.12%
1994년,6.15%
1993년,2.98%
1992년,3.62%
1991년,8.29%
1990년,10.52%
1989년,8.73%
1988년,9.67%
1987년,10.83%
1986년,10.18%
