특성,GDP(10억 달러)
2026*,1824.05
2025*,1769.03
2024*,1715.98
2023*,1644.73
2022*,1571.1
2021*,1461.55
2020,1278.21
2019,1393.64
2018,1422.8
2017년,1312.08
2016년,1232.57
2015년,1195.72
2014년,1371.58
2013년,1355.16
2012,1325.58
2011년,1480.45
2010년,1423.27
2009년,1489.85
2008년,1631.69
2007년,1474.18
2006년,1260.47
2005년,1154.35
2004년,1068.57
2003년,907.26
2002년,708.26
2001년,627.83
2000,598.63
1999년,635.97
1998년,618.41
1997년,589.38
1996년,640.03
1995년,613.95
1994년,531.14
1993년,529.32
1992년,630.12
1991년,576.45
1990년,535.65
1989년,412.59
1988년,374.07
1987년,318.39
1986년,251.3
