특성,지수값
1월 21일,236.31
12월 20일,234.45
11월 20일,232.46
10월 20일,229.93
9월 20일,226.89
8월 20일,224.14
7월 20일,221.66
6월 20일,219.9
5월 20일,218.56
4월 20일,217.31
3월 20일,215.24
2월 20일,213.28
1월 20일,212.48
12월 19일,212.38
11월 19일,212.3
10월 19일,212.18
9월 19일,212.1
8월 19일,212.06
7월 19일,211.63
6월 19일,210.87
5월 19일,209.65
4월 19일,207.96
3월 19일,206.06
2월 19일,204.72
1월 19일,204.46
12월 18일,204.94
11월 18일,205.34
10월 18일,205.59
9월 18일,205.6
8월 18일,205.55
7월 18일,205.18
6월 18일,204.27
5월 18일,202.66
4월 18일,200.8
3월 18일,198.76
2월 18일,197.08
1월 18일,196.29
12월 17일,196.02
11월 17일,195.61
10월 17일,195.24
9월 17일,194.97
8월 17일,194.5
7월 17일,193.66
6월 17일,192.4
5월 17일,190.65
4월 17일,188.65
3월 17일,186.64
2월 17일,185.14
