특성,GDP(10억 달러)
2026*,6533.02
2025*,6351.1
2024*,6170.37
2023*,5977.36
2022*,5653.46
2021*,5378.14
2020,5048.69
2019,5148.78
2018,5036.89
2017년,4930.84
2016년,5003.68
2015년,4389.48
2014년,4850.41
2013년,5155.72
2012,6203.21
2011년,6157.46
2010년,5700.1
2009년,5231.38
2008년,5037.91
2007년,4515.26
2006년,4530.38
2005년,4755.41
2004년,4815.17
2003년,4445.66
2002년,4115.12
2001년,4303.54
2000,4887.52
1999년,4562.08
1998년,4032.51
1997년,4414.73
1996년,4833.71
1995년,5449.12
1994년,4907.04
1993년,4454.14
1992년,3908.81
1991년,3584.42
1990년,3132.82
1989년,3054.91
1988년,3071.68
1987년,2532.81
1986년,2078.95
