특성,1인당 GDP(미국 달러)
2026*,1130.79
2025*,1077.49
2024*,1026.86
2023*,977.06
2022*,928.71
2021*,876.03
2020*,790.97
2019*,774.87
2018,820.53
2017년,738.01
2016년,687.48
2015년,653.39
2014년,793.05
2013년,787.48
2012,758.48
2011년,751.04
2010년,648.37
2009년,623.5
2008년,643.33
2007년,535.13
2006년,473.48
2005년,458.19
2004년,418.19
2003년,374.53
2002년,294.46
2001년,267.1
2000,255.08
1999년,300.31
1998년,287.6
1997년,258.11
1996년,280.45
1995년,265.24
1994년,220.47
1993년,376.71
1992년,406.07
1991년,389.6
1990년,395.88
1989년,342.86
1988년,352.1
1987년,327.43
1986년,288.78
