특성,순이익(단위: 백만 달러)
2021년 1분기,8107
2020년 4분기,7222
2020년 3분기,6331
2020년 2분기,5243
2020년 1분기,2535
'19년 4분기,3268
'19년 3분기,2134
2019년 2분기,2625
'19년 1분기,3561
'18년 4분기,3027
'18년 3분기,2883
'18년 2분기,2534
'18년 1분기,1629
'17년 4분기,1856
'17년 3분기,256
2017년 2분기,197
'17년 1분기,724
'16년 4분기,749
'16년 3분기,252
'16년 2분기,857
'16년 1분기,513
'15년 4분기,482
'15년 3분기,79
'15년 2분기,92
'15년 1분기,-57
'14년 4분기,214
'14년 3분기,-437
'14년 2분기,-126
'14년 1분기,108
'13년 4분기,239
'13년 3분기,-41
'13년 2분기,-7
'13년 1분기,82
'12년 4분기,97
'12년 3분기,-274
2012년 2분기,7
'12년 1분기,130
'11년 4분기,177
'11년 3분기,63
'11년 2분기,191
'11년 1분기,201
'10년 4분기,416
'10년 3분기,231
'10년 2분기,207
'10년 1분기,299
2009년 4분기,384
2009년 3분기,199
2009년 2분기,142
2009년 1분기,177
