특성,수천 건의 Facebook 참여 수
"오바마, 학교 내 충성 서약 금지 전국 명령에 서명",2200.0
오바마는 미국 내 시리아 난민을 지원하기 위해 재향군인을 위한 프로그램에서 26억 달러를 삭감했습니다.,1700.0
"프란치스코 교황, 트럼프 대통령 후보 지지",961.3
"아일랜드, 공식적으로 미국 출신 트럼프 난민 받아들인다",817.9
힐러리 클린턴이 ISIS에 무기를 팔았다는 사실이 WikiLeaks에 의해 확인되었습니다.,789.5
"힐러리 클린턴, 트럼프에게 대선 출마 제안",507.2
트럼프가 대중투표에서 승리했다,481.1
마이크 펜스는 미셸 오바마가 역대 가장 천박한 영부인이라고 말했다.,352.6
도널드 트럼프는 1995년 한 파티에서 유명한 드래그 퀸 루폴을 여자로 착각하고 그를 더듬었다.,301.0
"클린턴 재단은 키즈르 칸의 법률 회사에 375,000달러를 지불했습니다.",268.6
"사라 페일린(Sarah Palin)은 무슬림이 자신의 딸에게 ""들어가는"" 것을 금지했다.",90.3
