특성,국내 총생산(단위: 10억 달러)
2026*,89.82
2025*,84.37
2024*,78.23
2023*,72.89
2022*,68.53
2021*,66.49
2020*,62.44
2019,89.6
2018,105.9
2017년,122.12
2016년,101.12
2015년,116.19
2014년,145.71
2013년,136.71
2012,128.05
2011년,111.79
2010년,83.8
2009년,70.31
2008년,88.54
2007년,65.27
2006년,52.38
2005년,36.97
2004년,23.55
2003년,17.81
2002년,15.29
2001년,10.93
2000,11.17
1999년,7.53
1998년,7.96
1997년,9.39
1996년,7.99
1995년,6.2
1994년,4.97
1993년,6.82
1992년,3.4
1991년,12.19
1990년,12.57
1989년,11.42
1988년,9.82
1987년,9.05
1986년,7.92
