특성,백만 달러 단위의 수익
2017년 1분기****,1327.0
2016년 4분기***,1469.0
2016년 3분기**,1305.0
2016년 2분기*,1308.0
'16년 1분기,1087.0
'15년 4분기,1273.0
'15년 3분기,1226.0
'15년 2분기,1243.0
'15년 1분기,1226.0
'14년 4분기,1253.0
'14년 3분기,1148.0
'14년 2분기,1084.0
'14년 1분기,1133.0
'13년 4분기,1266.0
'13년 3분기,1139.0
'13년 2분기,1135.0
'13년 1분기,1140.0
'12년 4분기,1346.0
'12년 3분기,1202.0
2012년 2분기,1217.79
'12년 1분기,1221.23
'11년 4분기,1324.15
'11년 3분기,1216.67
'11년 2분기,1229.02
'11년 1분기,1214.36
'10년 4분기,1525.11
'10년 3분기,1601.2
'10년 2분기,1601.38
'10년 1분기,1596.96
2009년 4분기,1731.98
2009년 3분기,1575.4
2009년 2분기,1572.9
2009년 1분기,1580.04
2008년 4분기,1806.39
2008년 3분기,1786.43
2008년 2분기,1798.09
2008년 1분기,1817.6
2007년 4분기,1832.0
2007년 3분기,1767.51
2007년 2분기,1697.92
2007년 1분기,1671.85
