특성,미국 달러 기준 팬 비용 지수
뉴욕 닉스,676.42
로스앤젤레스 레이커스,545.08
시카고 불스,477.32
골든스테이트 워리어스,471.36
마이애미 히트,465.92
로스앤젤레스 클리퍼스,437.82
보스턴 셀틱스,419.96
브루클린 네츠,404.6
휴스턴 로켓츠,376.42
피닉스 선즈,341.9
NBA 리그 평균,339.02
밀워키 벅스,325.85
샌안토니오 스퍼스,325.52
토론토 랩터스,323.69
워싱턴 위저즈,322.82
포틀랜드 트레일 블레이저스,319.2
덴버 너게츠,316.02
오클라호마시티 썬더,296.4
새크라멘토 킹스,286.56
미네소타 팀버울브스,281.06
댈러스 매버릭스,281.02
필라델피아 76ers,275.74
유타 재즈,275.74
클리블랜드 캐벌리어스,274.48
올랜도 매직,263.1
인디애나 페이서스,257.4
애틀랜타 호크스,255.28
멤피스 그리즐리스,223.92
뉴올리언스 펠리컨스,221.8
디트로이트 피스톤스,215.68
샬럿 호네츠,212.4
