특성,검사인원
12월 7일부터 12월 13일까지,220504
11월 30일 ~ 12월 6일,185977
11월 23일 ~ 11월 29일,163421
11월 16일 ~ 11월 22일,166913
11월 9일 ~ 11월 15일,155653
11월 2일 ~ 11월 8일,165041
10월 26일 ~ 11월 1일,197534
10월 19일 ~ 10월 25일,215483
10월 12일 ~ 10월 18일,225890
10월 5일 ~ 10월 11일,240434
9월 28일 ~ 10월 4일,225655
9월 21일 ~ 9월 27일,214472
9월 14일 ~ 9월 20일,203384
9월 7일 ~ 9월 13일,197923
8월 31일 ~ 9월 6일,184761
8월 24일 ~ 8월 30일,185167
8월 17일 ~ 8월 23일,161406
8월 10일 ~ 8월 16일,121253
8월 3일 ~ 8월 9일,118058
7월 27일 ~ 8월 2일,122021
7월 20일 ~ 7월 26일,113744
7월 13일 ~ 7월 19일,89783
7월 6일 ~ 7월 12일,79309
6월 29일 ~ 7월 5일,69658
6월 22일 ~ 6월 28일,64140
6월 15일 ~ 6월 21일,65541
6월 8일부터 6월 14일까지,63778
6월 1일 ~ 6월 7일,58956
5월 25일 ~ 5월 31일,33871
5월 18일 ~ 5월 24일,28836
5월 11일 ~ 5월 17일,32687
5월 4일 ~ 5월 10일,29006
4월 27일 ~ 5월 3일,28954
4월 20일 ~ 4월 26일,38395
4월 13일 ~ 4월 19일,40102
4월 6일 ~ 4월 12일,38960
3월 30일 ~ 4월 5일,29098
3월 23일 ~ 3월 29일,24745
3월 16일 ~ 3월 22일,21338
3월 9일 ~ 3월 15일,17080
