특성,국내 총생산(단위: 10억 달러)
2026*,2220.72
2025*,2137.99
2024*,2052.93
2023*,1967.85
2022*,1885.68
2021*,1806.71
2020,1630.87
2019,1646.74
2018,1725.37
2017년,1623.07
2016년,1499.36
2015년,1465.77
2014년,1484.32
2013년,1370.8
2012,1278.43
2011년,1253.16
2010년,1143.98
2009년,943.67
2008년,1047.34
2007년,1172.61
2006년,1053.22
2005년,934.9
2004년,793.18
2003년,702.72
2002년,627.25
2001년,547.66
2000,576.18
1999년,497.51
1998년,383.33
1997년,569.76
1996년,610.17
1995년,566.58
1994년,463.62
1993년,392.67
1992년,355.53
1991년,330.65
1990년,283.37
1989년,246.93
1988년,199.59
1987년,147.95
1986년,116.84
