특성,백만 미터톤 단위로 생산
2020*,39.0
2019*,42.0
2018*,42.0
2017년,39.6
2016년,41.7
2015년,45.1
2014년,45.3
2013년,39.9
2012,37.2
2011년,45.0
2010년,43.3
2009년,43.1
2008년,47.4
2007년,45.5
2006년,40.6
2005년,45.0
2004년,45.0
2003년,41.1
2002년,37.7
2001년,42.2
2000,43.3
1999년,44.4
1998년,40.8
1997년,40.6
1996년,42.9
1995년,40.8
1994년,39.7
1993년,38.2
1992년,34.8
1991년,35.9
1990년,36.9
1989년,35.3
1988년,35.3
1987년,33.1
1986년,33.3
1985년,36.3
1984년,35.6
1983년,31.4
1982년,34.4
1981년,35.3
1980년,36.6
1979년,41.5
1978년,38.9
1977년,39.4
1976년,40.1
1975년,37.2
